sexo,edad,nacionalidad,ccaa,tipo_hogar,regimen_vivienda,nivel_educativo,unidades_consumo,renta_hogar,ingresos_anuales,riesgo_pobreza,situacion_economica_infancia,pesos
Hombre,16,NA,ES52,Biparental con niños/as,En propiedad,NA,2,36027.4,NA,0,NA,2451.23779
Hombre,28,Espana,ES52,Otros hogares,En propiedad,344,2,26567.55,1527.8,0,Moderadamente buena,4666.07241
Hombre,63,Espana,ES52,Otros hogares,En propiedad,300,2,26567.55,0,0,NA,4666.07241
Mujer,58,Espana,ES52,Otros hogares,En propiedad,300,2,26567.55,15978.8,0,Moderadamente buena,4666.07241
Mujer,86,Espana,ES52,Unipersonal,En propiedad,500,1,16095.2,0,0,NA,2476.86673
Mujer,71,Espana,ES52,2 adultos sin niños,En propiedad,300,1.5,31444.2,0,0,NA,3882.78921
Hombre,72,Espana,ES52,2 adultos sin niños,En propiedad,500,1.5,31444.2,0,0,NA,3882.78921
Hombre,66,Espana,ES52,Unipersonal,En alquiler,200,1,24666.6,2401.7,0,NA,7867.16397
Hombre,78,Espana,ES52,2 adultos sin niños,En propiedad,500,1.5,47989.3,0,0,NA,3045.67171
Mujer,69,Espana,ES52,2 adultos sin niños,En propiedad,300,1.5,47989.3,0,0,NA,3045.67171
Mujer,54,Espana,ES52,Biparental con niños/as,En propiedad,300,2,11292.7,6165.9,1,Moderadamente buena,1526.51698
Hombre,54,Espana,ES52,Biparental con niños/as,En propiedad,300,2,11292.7,5126.8,1,Moderadamente mala,1526.51698
Hombre,19,Espana,ES52,Biparental con niños/as,En propiedad,344,2,11292.7,0,1,NA,1526.51698
Mujer,69,Espana,ES52,2 adultos sin niños,En propiedad,200,1.5,16676.9,0,0,NA,4180.58652
Mujer,37,Espana,ES52,2 adultos sin niños,En propiedad,300,1.5,16676.9,4347,0,Moderadamente buena,4180.58652
Hombre,46,Espana,ES52,Biparental con niños/as,En propiedad,500,2.1,85944,49311,0,Buena,1872.85427
Mujer,42,Espana,ES52,Biparental con niños/as,En propiedad,500,2.1,85944,35892.2,0,Buena,1872.85427
Hombre,11,NA,ES52,Biparental con niños/as,En propiedad,NA,2.1,85944,NA,0,NA,1872.85427
Hombre,7,NA,ES52,Biparental con niños/as,En propiedad,NA,2.1,85944,NA,0,NA,1872.85427
Hombre,55,Espana,ES52,Unipersonal,En propiedad,300,1,40898,37108.7,0,Moderadamente buena,2343.27154
Mujer,44,Espana,ES52,2 adultos sin niños,En alquiler,300,1.5,30830.6,0,0,Moderadamente buena,2694.21215
Hombre,48,Espana,ES52,2 adultos sin niños,En alquiler,500,1.5,30830.6,28378.4,0,Moderadamente buena,2694.21215
Hombre,31,Espana,ES52,2 adultos sin niños,En propiedad,344,1.5,15839.73,0,0,Moderadamente buena,2530.29243
Mujer,67,Extranjero (resto mundo),ES52,2 adultos sin niños,En propiedad,300,1.5,15839.73,0,0,NA,2530.29243
Hombre,46,Espana,ES52,Otros hogares,En propiedad,200,2.8,33762.5,0,0,Moderadamente buena,1005.2496
Mujer,44,Espana,ES52,Otros hogares,En propiedad,300,2.8,33762.5,6932.4,0,Moderadamente buena,1005.2496
Hombre,19,Espana,ES52,Otros hogares,En propiedad,353,2.8,33762.5,1362.6,0,NA,1005.2496
Mujer,15,NA,ES52,Otros hogares,En propiedad,NA,2.8,33762.5,NA,0,NA,1005.2496
Hombre,12,NA,ES52,Otros hogares,En propiedad,NA,2.8,33762.5,NA,0,NA,1005.2496
Mujer,57,Espana,ES52,Otros hogares,En propiedad,200,2,25788.8,8121.5,0,Moderadamente mala,1458.17485
Hombre,56,Espana,ES52,Otros hogares,En propiedad,200,2,25788.8,16860,0,Mala,1458.17485
Hombre,22,Espana,ES52,Otros hogares,En propiedad,500,2,25788.8,2043.2,0,NA,1458.17485
Hombre,85,Espana,ES52,2 adultos sin niños,En alquiler,000,1.5,12620.2,0,1,NA,2050.53575
Mujer,78,Espana,ES52,2 adultos sin niños,En alquiler,000,1.5,12620.2,0,1,NA,2050.53575
Hombre,77,Extranjero (resto UE),ES52,Otros hogares,En propiedad,300,2.5,33183.5,0,0,NA,2437.43791
Mujer,26,Espana,ES52,Otros hogares,En propiedad,200,2.5,33183.5,12725.5,0,Moderadamente buena,2437.43791
Hombre,26,Espana,ES52,Otros hogares,En propiedad,200,2.5,33183.5,2868.29,0,Moderadamente mala,2437.43791
Hombre,27,Espana,ES52,Otros hogares,En propiedad,344,2.5,33183.5,12278.8,0,Moderadamente mala,2437.43791
Hombre,35,Espana,ES52,2 adultos sin niños,En alquiler,200,1.5,30483.1,13842.3,0,Buena,2552.17873
Mujer,32,Espana,ES52,2 adultos sin niños,En alquiler,500,1.5,30483.1,16009.4,0,Buena,2552.17873
Hombre,68,Espana,ES52,2 adultos sin niños,En propiedad,100,1.5,24222.9,0,0,NA,3082.3773
Mujer,65,Espana,ES52,2 adultos sin niños,En propiedad,100,1.5,24222.9,0,0,NA,3082.3773
Hombre,62,Espana,ES52,2 adultos sin niños,En alquiler,100,1.5,29885.2,0,0,NA,1346.21038
Mujer,53,Espana,ES52,2 adultos sin niños,En alquiler,100,1.5,29885.2,0,0,Moderadamente mala,1346.21038
Hombre,76,Espana,ES52,2 adultos sin niños,En propiedad,200,1.5,13544.6,0,0,NA,2883.89715
Mujer,74,Espana,ES52,2 adultos sin niños,En propiedad,000,1.5,13544.6,0,0,NA,2883.89715
Mujer,62,Espana,ES52,Unipersonal,En propiedad,200,1,8570.5,0,1,NA,2702.32561
Hombre,43,Espana,ES52,Biparental con niños/as,En propiedad,500,1.8,52880.96,0,0,Buena,3964.00738
Mujer,48,Espana,ES52,Biparental con niños/as,En propiedad,200,1.8,52880.96,6593.75,0,Moderadamente buena,3964.00738
Hombre,3,NA,ES52,Biparental con niños/as,En propiedad,NA,1.8,52880.96,NA,0,NA,3964.00738
Mujer,86,Espana,ES52,Unipersonal,En propiedad,000,1,9385.9,0,0,NA,4237.56548
Hombre,55,Espana,ES52,Otros hogares,En propiedad,300,2,18458.9,9772.8,0,NA,6374.47683
Mujer,54,Espana,ES52,Otros hogares,En propiedad,300,2,18458.9,8827.6,0,Muy buena,6374.47683
Mujer,24,Espana,ES52,Otros hogares,En propiedad,500,2,18458.9,0,0,NA,6374.47683
Hombre,53,Espana,ES52,2 adultos sin niños,En alquiler,200,1.5,21373.5,16424.6,0,Moderadamente buena,3103.04468
Mujer,53,Espana,ES52,2 adultos sin niños,En alquiler,200,1.5,21373.5,2228,0,Moderadamente buena,3103.04468
Hombre,71,Espana,ES52,Unipersonal,En propiedad,100,1,22166.6,0,0,NA,4035.10643
Hombre,76,Espana,ES52,Otros hogares,En propiedad,300,2,10147.8,0,1,NA,3486.76387
Hombre,50,Espana,ES52,Otros hogares,En propiedad,200,2,10147.8,0,1,Buena,3486.76387
Mujer,61,Extranjero (resto mundo),ES52,Otros hogares,En propiedad,300,2,10147.8,0,1,NA,3486.76387
Mujer,78,Espana,ES52,2 adultos sin niños,En propiedad,100,1.5,25676.3,0,0,NA,3657.66226
Hombre,82,Espana,ES52,2 adultos sin niños,En propiedad,500,1.5,25676.3,0,0,NA,3657.66226
Mujer,40,Espana,ES52,Biparental con niños/as,En propiedad,500,2.1,74985.3,44166.1,0,Moderadamente buena,3093.6192
Hombre,43,Espana,ES52,Biparental con niños/as,En propiedad,300,2.1,74985.3,31004.3,0,Moderadamente buena,3093.6192
Hombre,11,NA,ES52,Biparental con niños/as,En propiedad,NA,2.1,74985.3,NA,0,NA,3093.6192
Mujer,9,NA,ES52,Biparental con niños/as,En propiedad,NA,2.1,74985.3,NA,0,NA,3093.6192
Hombre,40,Espana,ES52,2 adultos sin niños,En propiedad,200,1.5,22174.4,12026.6,0,Buena,5860.04368
