id_centro,sexo,trimestre_nacimiento,anos_educ_infantil,isec,estudios_madre,repite_curso,expectativas_educ,mates_score
5,Chico,4 tr,6,-0.11676,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar un Ciclo Formativo de grado medio,389.6558638
5,Chico,3 tr,5,0.56466,Tecnico superior FP,No repite,Hasta terminar una carrera universitaria,568.6396254
5,Chico,3 tr,6,0.97559,Tecnico superior FP,Repite,Hasta terminar un Ciclo Formativo de grado medio,407.068186
5,Chico,2 tr,6,0.80877,Bachillerato,No repite,Hasta terminar un Ciclo Formativo de grado superior,472.0640388
5,Chica,1 tr,6,1.81735,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,526.9531082
5,NA,NA,NA,0.52805,NA,NA,NA,620.8215296
5,Chico,1 tr,1,-0.89091,NA,No repite,No lo he pensado todavia,479.8360244
5,Chica,2 tr,6,1.46284,Bachillerato,No repite,NA,422.9131226
5,NA,NA,NA,0.52805,NA,NA,NA,581.5014636
5,Chica,2 tr,1,1.46284,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,552.5303162
5,Chico,3 tr,6,0.80877,Universitarios medios,No repite,Hasta terminar una carrera universitaria,516.3214308
5,Chica,3 tr,6,1.81735,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,463.2036178
6,Chica,3 tr,6,-1.87759,Sin estudios obligatorios,No repite,Hasta terminar una carrera universitaria,345.640241
6,Chica,2 tr,4,0.97559,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,540.7772603999999
6,Chico,2 tr,4,1.81735,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,549.6902144000001
6,Chica,3 tr,4,-0.345,NA,Repite,Hasta terminar los estudios obligatorios (ESO),NA
6,Chica,1 tr,4,-0.02207,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,499.39264000000003
6,NA,NA,NA,-0.32202,NA,NA,NA,436.081872
6,Chica,1 tr,5,-0.37264,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,418.3390614
6,Chica,NA,4,0.06015,NA,Repite,No lo he pensado todavia,402.5998896
6,Chica,1 tr,4,-0.11676,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,517.5846184
6,Chico,1 tr,4,-0.59837,NA,No repite,Hasta terminar una carrera universitaria,644.4385228
