DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2019,ES,277,ES43,1,168,2,839.04658,1,2,1
2019,ES,278,ES43,1,168,2,130.72060,1,2,1
2019,ES,279,ES43,1,168,2,194.37058,1,2,1
2019,ES,280,ES43,1,168,2,471.55446,1,2,1
2019,ES,281,ES43,1,168,2,795.35960,1,2,1
2019,ES,282,ES43,1,169,2,1824.59703,1,3,1
2019,ES,283,ES43,1,169,2,796.80973,1,3,1
2019,ES,284,ES43,1,169,2,903.43852,1,3,1
2019,ES,285,ES43,1,169,2,162.54315,1,3,1
2019,ES,286,ES43,1,169,2,1185.82682,1,3,1
2019,ES,288,ES53,1,176,2,2013.92965,1,3,1
2019,ES,290,ES53,1,177,2,7451.80960,1,3,1
2019,ES,293,ES53,1,177,2,9646.79828,1,3,1
2019,ES,294,ES53,1,177,2,868.26203,1,3,1
2019,ES,295,ES53,1,177,2,458.43560,1,3,1
2019,ES,296,ES53,1,187,2,6369.07499,1,2,1
2019,ES,298,ES53,1,193,2,3065.99033,1,3,1
2019,ES,299,ES53,1,193,2,2851.31973,1,3,1
2019,ES,300,ES53,1,193,2,1340.89792,1,3,1
2019,ES,301,ES53,1,194,2,1363.52321,1,3,1
2019,ES,302,ES53,1,194,2,2772.20863,1,3,1
2019,ES,303,ES53,1,194,2,1363.52321,1,3,1
2019,ES,304,ES53,1,194,2,658.66078,1,3,1
2019,ES,305,ES53,1,194,2,1363.52321,1,3,1
2019,ES,306,ES53,1,203,2,2076.81602,1,1,1
2019,ES,307,ES53,1,203,2,543.80158,1,1,1
2019,ES,311,ES53,1,207,2,1355.69322,1,1,1
2019,ES,312,ES53,1,207,2,2897.85449,1,1,1
2019,ES,314,ES53,1,207,2,845.85974,1,1,1
2019,ES,315,ES53,1,208,2,456.72962,1,1,1
2019,ES,316,ES53,1,208,2,477.46224,1,1,1
2019,ES,317,ES53,1,208,2,232.24950,1,1,1
2019,ES,318,ES53,1,208,2,1848.57027,1,1,1
2019,ES,319,ES53,1,208,2,110.57490,1,1,1
2019,ES,320,ES53,1,210,2,379.23385,1,1,1
2019,ES,321,ES53,1,210,2,200.11574,1,1,1
2019,ES,325,ES53,1,218,2,1911.93660,1,1,1
2019,ES,328,ES53,1,226,2,493.41713,1,1,1
2019,ES,329,ES53,1,226,2,714.85286,1,1,1
2019,ES,330,ES53,1,227,2,187.63454,1,1,1
2019,ES,331,ES53,1,227,2,3869.48609,1,1,1
2019,ES,333,ES53,1,227,2,2211.49340,1,1,1
2019,ES,335,ES53,1,227,2,3024.52566,1,1,1
2019,ES,336,ES53,1,228,2,278.94834,1,3,1
2019,ES,337,ES53,1,228,2,167.10203,1,3,1
2019,ES,338,ES53,1,228,2,290.56211,1,3,1
2019,ES,339,ES53,1,228,2,1437.10143,1,3,1
2019,ES,340,ES53,1,228,2,74.42915,1,2,1
2019,ES,341,ES53,1,228,2,286.95060,1,3,1
2019,ES,343,ES53,1,230,2,2605.22734,1,2,1
2019,ES,345,ES53,1,230,2,1365.78522,1,2,1
2019,ES,347,ES53,1,233,2,413.27790,1,3,1
2019,ES,349,ES53,1,233,2,1042.48299,1,3,1
2019,ES,350,ES53,1,233,2,3549.76333,1,3,1
2019,ES,351,ES53,1,234,2,1566.54100,1,3,1
2019,ES,352,ES53,1,234,2,257.31858,1,3,1
2019,ES,353,ES53,1,240,2,2605.22734,1,3,1
2019,ES,354,ES51,1,245,2,2869.89695,1,2,1
2019,ES,358,ES51,1,249,2,5063.11909,1,1,1
2019,ES,359,ES51,1,249,2,3490.18655,1,1,1
2019,ES,362,ES51,1,249,2,3090.20570,1,1,1
2019,ES,363,ES51,1,249,2,4329.15481,1,1,1
2019,ES,364,ES51,1,249,2,1284.24646,1,1,1
2019,ES,365,ES51,1,249,2,5006.05328,1,1,1
2019,ES,367,ES51,1,251,2,3504.31384,1,1,1
2019,ES,368,ES51,1,251,2,4781.19800,1,1,1
2019,ES,369,ES51,1,251,2,3910.62385,1,1,1
2019,ES,370,ES51,1,251,2,2204.54344,1,1,1
2019,ES,371,ES51,1,251,2,2201.11378,1,1,1
2019,ES,374,ES51,1,257,2,2073.99872,1,1,1
2019,ES,375,ES51,1,257,2,3878.01598,1,1,1
2019,ES,376,ES51,1,257,2,2439.39095,1,1,1
2019,ES,377,ES51,1,263,2,3141.00134,1,1,1
2019,ES,379,ES51,1,263,2,2194.54720,1,1,1
2019,ES,380,ES51,1,263,2,1801.19530,1,1,1
2019,ES,381,ES51,1,263,2,4559.13683,1,1,1
2019,ES,385,ES51,1,268,2,8188.85663,1,1,1
2019,ES,390,ES51,1,276,2,1866.57726,1,1,1
2019,ES,391,ES51,1,276,2,2316.73133,1,1,1
2019,ES,392,ES51,1,276,2,2284.58365,1,1,1
2019,ES,394,ES51,1,278,2,2204.18474,1,1,1
2019,ES,397,ES51,1,280,2,2924.07399,1,1,1
2019,ES,399,ES51,1,280,2,3342.87134,1,1,1
2019,ES,400,ES51,1,280,2,6918.75401,1,1,1
2019,ES,401,ES51,1,281,2,2839.10993,1,1,1
2019,ES,405,ES51,1,284,2,1964.18470,1,1,1
2019,ES,407,ES51,1,284,2,2646.91130,1,1,1
2019,ES,408,ES51,1,284,2,2711.01677,1,1,1
2019,ES,409,ES51,1,287,2,1220.48313,1,1,1
2019,ES,415,ES51,1,288,2,3836.53230,1,1,1
2019,ES,417,ES51,1,288,2,2188.61114,1,1,1
